Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2904     0.00     0.00  Drawable*& std::__get_helper<0ul, Drawable*, std::default_delete<Drawable> >(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     2904     0.00     0.00  std::tuple_element<0ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type& std::get<0ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     2735     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >&& std::forward<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::type&)
  0.00      0.00     0.00     2702     0.00     0.00  std::vector<Drawable*, std::allocator<Drawable*> >::size() const
  0.00      0.00     0.00     2611     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::base() const
  0.00      0.00     0.00     2588     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00     2541     0.00     0.00  std::vector<Drawable*, std::allocator<Drawable*> >::operator[](unsigned long)
  0.00      0.00     0.00     2406     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00     2281     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_M_head(std::_Head_base<0ul, TankDrawable*, false>&)
  0.00      0.00     0.00     2281     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2281     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_ptr()
  0.00      0.00     0.00     2281     0.00     0.00  TankDrawable*& std::__get_helper<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2281     0.00     0.00  std::tuple_element<0ul, std::tuple<TankDrawable*, std::default_delete<TankDrawable> > >::type& std::get<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::tuple<TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2214     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00     2214     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00     2214     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00     2172     0.00     0.00  ActorInfo* std::__addressof<ActorInfo>(ActorInfo&)
  0.00      0.00     0.00     2160     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::get() const
  0.00      0.00     0.00     2160     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_ptr() const
  0.00      0.00     0.00     2160     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_M_head(std::_Head_base<0ul, TankDrawable*, false> const&)
  0.00      0.00     0.00     2160     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> > const&)
